source_id,title,authors_or_org,year,url,workstream,source_type,exact_question,assumptions,population_or_data,result,transferable_claim,non_transferable_limit,reproduction_status,contradictions,open_questions,review_status
SRC-001,Introducing System One Models & Jev,TypeSafe AI,2026,https://typesafe.ai/blog/introducing-system-one-models-and-jev,System-One,primary_official,"What is Jev and what does TypeSafe claim about architecture, speed, pricing and RLCD?",Vendor claims; early access,TypeSafe workflow evals,New architecture + parallel sampler + RLCD; vendor reports 70-500ms,Useful for behavior/specification; performance claims need independent validation,No architecture/weights/RLCD objective disclosed,not independently reproduced,,Independent calibration and latency benchmarks,reviewed
SRC-002,Jev 1.13 jaggedness,TypeSafe AI,2026,https://docs.typesafe.ai/model-jaggedness/jev-1.13,System-One,primary_official,What does Jev 1.13 do poorly?,Version-specific,jev-1.13,Math/numbers/date arithmetic weak; literal/indirection/context/adversarial issues; no structural invariants,Directly informs admission tests,May change in later versions,n/a,,How failure modes change by version,reviewed
SRC-003,Adaptive Conformal Inference Under Distribution Shift,Gibbs & Candès,2021,https://arxiv.org/abs/2106.00170,Calibration,paper,Can conformal coverage adapt online under distribution shift?,Online sequential setting,time-varying distributions,Adaptive method targets long-run coverage under drift,Potential wrapper for abstention/sets,Does not itself calibrate posterior probabilities,published,,How well on financial classification decisions?,reviewed
SRC-004,Beta calibration,"Kull, Silva Filho, Flach",2017,https://proceedings.mlr.press/v54/kull17a.html,Calibration,peer_reviewed,How can binary classifier scores be recalibrated?,Calibration set representative enough,multiple classifiers,Beta calibration improves over logistic in studied cases,Candidate score->probability map,Static method does not solve arbitrary nonstationarity,published,,Rolling/online variants for our regime,reviewed
SRC-005,JAX-LOB,Frey et al.,2023,https://arxiv.org/abs/2308.13289,Execution,paper,Can many LOB environments be simulated efficiently for RL?,Simulator assumptions,LOB simulation,GPU-accelerated LOB simulation,Useful simulator candidate,Simulator fidelity must be independently assessed,published,,Fit to chosen venue/data?,reviewed
SRC-006,Queue-Reactive Model,"Huang, Lehalle, Rosenbaum",2013,https://arxiv.org/abs/1312.0563,Execution,paper,Can LOB dynamics be modeled as queue-conditioned event intensities?,Model class assumptions,ultra-high-frequency LOB,Queue-reactive model and simulation framework,Baseline interactive LOB model,May not capture all endogenous/adversarial effects,published,,Venue-specific calibration,reviewed
SRC-007,LOB Simulation and Trade Evaluation with KNN Resampling,"Giegrich, Oomen, Reisinger",2024,https://arxiv.org/abs/2409.06514,Counterfactual,paper,Can historical LOB data support interactive counterfactual simulation?,Resampling/state assumptions,LOB data,KNN resampling produces realistic dynamics and synthetic impact in experiments,Candidate counterfactual simulator,Need venue/horizon validation,preprint,,Compare with queue-reactive/JAX-LOB/live data,reviewed
SRC-008,The Probability of Backtest Overfitting,Bailey et al.,2017,https://escholarship.org/uc/item/4w1110bb,Research Integrity,peer_reviewed,How likely is strategy selection to be overfit?,CSCV applicability,investment backtests,PBO framework,Research-selection defense,Does not replace economic mechanism or live validation,published,,How to count human-guided trials faithfully,reviewed
SRC-009,The Deflated Sharpe Ratio,Bailey & López de Prado,2014,https://doi.org/10.3905/jpm.2014.40.5.094,Research Integrity,peer_reviewed,How should Sharpe evidence be adjusted for selection bias/non-normal returns?,Metric assumptions,investment strategies,DSR framework,Candidate gate metric,Not a substitute for execution realism,published,,Implementation details and thresholds by strategy class,reviewed
SRC-010,How to Build a One-Person HFT Hedge Fund on Jev That Fires Calibrated Trades on Every Block 24/7,Unverified field-report author / user-provided paper,2026,user-provided PDF,System-One / Trading Architecture,architecture_field_report,Can a deterministic market-making loop use Jev as a parallel probabilistic judgment layer?,Assumes Jev calibration transfers sufficiently after local checking; assumes A-S-style quoting is suitable; hosted latency fits venue horizon,Eight-page architecture proposal; no independent live-capital dataset supplied,Proposes deterministic state/math + six-question Jev battery + confidence gates + A-S quoting + hard risk/fallbacks,Useful as a falsifiable candidate architecture and test plan,Does not establish profitable alpha; direct Kelly-from-Jev claim is unjustified; cost math appears inconsistent; calibration methodology underspecified,not independently reproduced,Section II implies RLCD enables sizing while Section VII acknowledges venue-specific calibration must be verified,Does System-One add net utility over same-information LightGBM after latency/execution? What is actual calibrated economic outcome mapping?,reviewed
