question_id,question,why_it_matters,workstream,priority,answer_required_before_gate,search_status,current_best_answer,unresolved_gap,next_search,related_issue_ids,legacy_question_id,last_updated
OQ-0001,Which of the M1-A external claims survive independent verification once every citation token resolves to a primary URL?,"The fee facts that already killed two candidates, and the feed-cadence fact that killed a third, are currently report-mediated rather than independently re-derived.",Provenance,HIGH,M1-A_CLOSE,not_started,Tokens preserved; no URLs recoverable from repository artifacts.,25 tokens unresolved.,Resolve token by token against primary sources and snapshot each page.,UNK-0023,UNKNOWN,2026-09-20
OQ-0002,What is the project-level all-in per-contract cost for the CME candidates?,It decides whether any CME tuple can survive aggressive execution.,Venue economics,CRITICAL,M1-B,not_started,UNKNOWN: only CME market-data architecture was verified.,No account-path fee schedule.,Obtain FCM/broker schedule for the intended account and register it as an immutable M2 cost configuration.,UNK-0001|UNK-0028,UNKNOWN,2026-09-20
OQ-0003,What is the current CME matching/allocation rule for each named candidate contract and order type?,"Without it, no passive CME fill model or queue claim is admissible.",Market structure,CRITICAL,M1-B,not_started,Only that rules are product-specific and can change by notice.,No contract-level rule locked.,Look up the rulebook per contract; record rule version.,UNK-0002,UNKNOWN,2026-09-20
OQ-0004,"Can order-level historical data be licensed for CME, Nasdaq equities, Cboe BZX and Eurex at acceptable cost?",Causal replay is a precondition for every passive or queue-dependent candidate.,Data procurement,CRITICAL,M2_ENTRY,not_started,"Product existence verified for CME/Nasdaq; price, licence, schema and timestamps unverified.","No quote, no sample file.",Request vendor quotes and run a schema/timestamp validation on a sample for each venue.,UNK-0003|UNK-0004|UNK-0020|UNK-0022|UNK-0011,UNKNOWN,2026-09-20
OQ-0005,"Is the published OFI/queue-imbalance/microprice predictability still present, after costs, on any candidate venue in 2026?",This is the only external result that currently justifies running a venue-specific test at all.,Mechanism replication,CRITICAL,M1-B,not_started,Supported as information content in U.S. equities (2015 sample and earlier); no after-cost replication on any target venue.,No current venue-specific net measure.,Search for modern independent after-cost replications and for disconfirming studies; then design the venue-specific test.,UNK-0009,UNKNOWN,2026-09-20
OQ-0006,What is EV(delay) for each candidate signal?,It determines the admissible compute/network budget and whether any model can be placed at the hypothesised horizon.,Latency / half-life,CRITICAL,M1-B,not_started,UNKNOWN for every candidate; the report forbids inferring decay from 'next tick'.,No curve exists.,Run a controlled delay sweep once replay data exists.,UNK-0008|UNK-0016,UNKNOWN,2026-09-20
OQ-0007,"What is P(fill | queue state) and E(markout | fill, state) for each passive candidate?",Passive economics are undefined without both.,Execution,CRITICAL,M2_ENTRY,not_started,UNKNOWN; touch=fills is disallowed.,No queue-aware simulator or shadow-fill process exists yet.,Build a queue-aware fill model under the venue's actual matching rule and validate against shadow observations.,UNK-0007|UNK-0019,UNKNOWN,2026-09-20
OQ-0008,Which exact instruments should the surviving branches be narrowed to?,"Several rows name a family, not a tradable contract, so no falsifier can be stated.",Universe definition,HIGH,M1-B,not_started,Family-level naming only.,No tick/lot/matching/fee facts at instrument level.,"Pick one instrument per branch on liquidity and data grounds, then lock its facts.",UNK-0027,UNKNOWN,2026-09-20
OQ-0009,"What are the fee, access and historical-data facts for Kalshi/Polymarket, Deribit, Eurex, Cboe options and the FX venues?",These are the tuples whose entire feasibility is currently unverified.,Venue economics,HIGH,M1-B,not_started,UNKNOWN across all five venue families.,No primary-source lock.,Per-venue primary research; jurisdiction matrix for event contracts.,UNK-0011|UNK-0012|UNK-0013|UNK-0014|UNK-0015,UNKNOWN,2026-09-20
OQ-0010,Are the venue fee facts that killed the crypto tuples current and correctly read?,Two candidate deaths depend on verified fee schedules; misreading them would be a false kill.,Venue economics,HIGH,M1-B,not_started,"60/40 bps (Coinbase 0-10k), 40/80 bps (Kraken Tier 1) as reported.",URL-level verification pending.,Re-verify both schedules from primary pages and record snapshots.,UNK-0023,UNKNOWN,2026-09-20
OQ-0011,Does hosted Jev or a local System-One model add execution-aware net utility over a same-information logistic/tree baseline?,This is the central falsification test for the paper's claimed architectural advantage and the only admissible basis for admitting System-One.,System-One / Trading Architecture,CRITICAL,G4_ROBUSTNESS,not_started,No same-information controlled benchmark exists.,"No measured latency profile, no sealed utility comparison.",Run only after market/horizon/data/execution baseline are fixed.,UNK-0017|UNK-0026,Q-010,2026-09-20
OQ-0012,What are this project's own live decision-to-market latency p50/p95/p99?,"Model placement, venue choice and horizon viability all depend on it.",Latency,CRITICAL,M2_ENTRY,not_started,No instrumented path exists.,No measurement.,Instrument the shadow path and log the full timestamp contract.,UNK-0016,UNKNOWN,2026-09-20
OQ-0013,"Which cost components can be parameterised conservatively rather than measured, and at what values?",A cost-sensitivity surface is required by the project's own G4 gate and may kill branches cheaply.,Execution economics,MEDIUM,G4_ROBUSTNESS,not_started,Only exchange fees are verified for two crypto venues and one equity venue.,No spread/slippage/impact parameterisation.,Define preregistered conservative ranges per venue and run the surface.,UNK-0006|UNK-0032,UNKNOWN,2026-09-20
OQ-0014,"What evidence supports the persistence argument for each surviving mechanism (who keeps paying, and why do they not stop)?",Persistence is a required invariant; 'it worked in 2015' is not a persistence argument.,Edge provenance,HIGH,M1-B,not_started,Report gives payer interpretations that are EXTRAPOLATIONS; no persistence evidence.,No risk/capacity/mandate evidence for any candidate.,"For each survivor, find evidence on payer constraints (mandates, balance sheet, latency budgets) or mark the persistence step UNKNOWN.",UNK-0009|UNK-0029,UNKNOWN,2026-09-20
OQ-0015,"What historical-data timestamp semantics (exchange vs receive time, clock domain) can be relied upon for causal replay?",A replay that cannot order events causally cannot be used to claim priority or fills.,Data integrity,HIGH,M2_ENTRY,not_started,The project's timestamp contract is defined in methods; no vendor feed has been validated against it.,No feed-level validation.,Validate a sample file against the timestamp contract per venue.,UNK-0003|UNK-0004,UNKNOWN,2026-09-20
OQ-0016,Is the candidate architecture's target market actually inside the M1 candidate set?,"The paper targets a generic block-cadence on-chain venue and names no venue, instrument, account or fee schedule. If that market class is not among the M1 tuples, the System-One branch has no venue to be tested on, which changes what M1-B could even consider.",Universe definition,HIGH,M1-B,not_started,No named venue in the paper; the M1 tuple ledger contains no block-cadence on-chain venue.,No tuple exists for the architecture's own target market.,Decide explicitly whether to add such a tuple (with its own fee/data/access lock) or to keep the architecture as an unhosted specimen.,UNK-0023|UNK-0026,UNKNOWN,2026-09-20
