candidate_id,candidate_class,death_date,death_date_basis,kill_gate,kill_basis,report_kill_gate,cause,evidence_ids,resurrection_condition,re_entry_policy,requires_new_evidence,requires_explicit_resurrection_decision,status
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,TUPLE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG3_EXECUTION,RECORDED_DECISION,M2 measured execution economics (no M1-A cemetery row),"Aggressive execution cannot clear the tick-plus-fee friction: a measured signal of 0.0794 bps against a 4.1011 bps round trip, with a measured clairvoyant ceiling of 0.822 bps per trade at the structural floor and 0.219 bps per trade on the accessible reference path (M2-0-6-UNIVPROXY, freeze sha256 4fc098a3...c32b38b).",EVD-0004|EVD-0005|EVD-0012|EVD-0031|EVD-0032|EVD-0033|EVD-0034|EVD-0035|EVD-0041|EVD-0042|EVD-0064|EVD-0066|EVD-0067|EVD-0068,"A rule-conformant modern measurement with a pooled required/signal ratio at or below 5, which requires both a materially higher move scale and a materially higher price level for the universe's names than the measured 2019 session (M2/output/M2_AUTONOMOUS_STATUS.md).",Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-NASDAQ-LARGETICK-H2-QIMB-PAS,TUPLE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG3_EXECUTION,RECORDED_DECISION,M2 measured passive-execution economics (no M1-A cemetery row),"Passive monetization fails on both sides of the queue-position trade-off: patient orders are rarely reached by flow inside the signal's own 1 s horizon (0.82% of attempts, median 537 ms), and orders reached immediately - the optimistic bound - are selected against by -1.02 bps of midpoint drift, more than the entry spread they earn. Measured deterministically on the 2019-07-30 development tape (M2-1-PASSIVE-QIMB, freeze sha256 03efd04e...).",EVD-0068|EVD-0069,"A rule-conformant measurement with non-negative fill-conditioned midpoint markout and queue reachability inside the signal's horizon, or a materially different formulation registered as its own candidate (passive exit, inventory, or venue liquidity-credit capture with an always-resting baseline).",Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,TUPLE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG3_EXECUTION,RECORDED_DECISION,UNKNOWN,"The registered microprice direction is real but economically immaterial on this population: 0.2333 bps pooled at 15000 ms (R = 17.09) and 0.5836 bps in the best declared state (R = 5.02) against a 3.9875 bps round trip, with a clairvoyant ceiling of 1.63 bps per trade at the fee floor. It is not an uplift on the queue-imbalance row at the shared horizon (0.0745 bps against 0.0794 bps at 1000 ms). Measured over 282,229,684 messages on the 2019-07-30 development tape (M2-2-MICRO-MATERIALITY, freeze sha256 89f84b29...).",EVD-0004|EVD-0005|EVD-0014|EVD-0031|EVD-0032|EVD-0033|EVD-0034|EVD-0035|EVD-0041|EVD-0042|EVD-0065|EVD-0070,"A rule-conformant measurement in which the pooled required/signal ratio at the candidate's own horizon is at or below 5, which requires a materially larger per-second move scale or a materially higher price level for the universe's names than the measured 2019 session; or a materially different formulation (passive, inventory, or a state the estimator does not currently use) registered as its own candidate and friction-measured before any execution model is built for it.",Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,TUPLE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG2_DATA|KG4_HALF_LIFE,COMPUTED_GATE_FAIL,Data feasibility / compute-fit boundary,"Documented public book feed cadence is at least 0.5 s between pushes, which is slower than the 10-100 ms hypothesis horizon.",EVD-0009|EVD-0043|EVD-0044|EVD-0045|EVD-0047|EVD-0059,A materially different authenticated/direct feed with verified sub-100 ms state information would constitute a new tuple.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,TUPLE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG2_DATA,COMPUTED_GATE_FAIL,Data feasibility,The historical product is Level 1; individual queue reconstruction is impossible from that dataset alone.,EVD-0004|EVD-0005|EVD-0031|EVD-0032|EVD-0033|EVD-0034|EVD-0035|EVD-0041|EVD-0042,Acquire order-level historical TotalView/ITCH or equivalent.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-METHOD-PASSIVE-TOUCHFILL,METHOD_RULE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG5_FALSIFIABILITY,COMPUTED_GATE_FAIL,Execution integrity,"The proposed fill rule omits queue position and adverse selection, so it cannot answer the economic question it is used to answer.",NONE,A validated queue-aware simulator or shadow-fill process replaces it.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-GENERIC-CRYPTO-MICRO,UNIVERSE_DEFINITION,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG5_FALSIFIABILITY,COMPUTED_GATE_FAIL,Universe-definition gate,"Not a valid unit of analysis: venue-specific fees, data and matching mechanics differ materially across crypto venues.",NONE,Reformulate as an exact instrument x venue x horizon x mechanism x execution tuple.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-GENERIC-CME-QUEUE,UNIVERSE_DEFINITION,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG5_FALSIFIABILITY,COMPUTED_GATE_FAIL,Market-structure definition,"CME matching processes are product-specific, so a generic queue model is unjustified.",EVD-0001|EVD-0002|EVD-0003|EVD-0018|EVD-0060,Specify product/order type and implement the actual matching rule.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-SYSTEMONE-HARDCORE-ENGINE,GOVERNANCE,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG1_MECHANISM|KG3_EXECUTION|KG5_FALSIFIABILITY,COMPUTED_GATE_FAIL,Project admission policy,Violates the governing separation of deterministic computation/risk from probabilistic judgment; no external evidence supplies an exception.,EVD-0023|EVD-0024|EVD-0025|EVD-0026|EVD-0027|EVD-0028|EVD-0029,A new governance decision plus overwhelming evidence; not an M1 trading hypothesis.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
TUP-JEV-HOSTED-LATENCY-UNMEASURED,TECHNOLOGY_ADMISSION,2026-09-20,date of the M1-A artifact (SRC-0011) for the original kills; M1-D0 computed-gate kills are dated by gate_recompute_date; a kill recorded from M2 evidence carries its experiment date in the cause text and in its evidence rows rather than in this column,KG1_MECHANISM|KG3_EXECUTION|KG5_FALSIFIABILITY,COMPUTED_GATE_FAIL,Technology admission,Request-to-market p99 is unverified and no signal half-life is established against which to compare it.,EVD-0023|EVD-0024|EVD-0025|EVD-0026|EVD-0027|EVD-0028|EVD-0029,Reproducible latency profile plus a candidate-specific EV-versus-delay curve.,Requires NEW_EVIDENCE plus an explicit resurrection decision recorded in DECISIONS.md. Silent re-entry is prohibited.,YES,YES,DEAD
