candidate_id,gate,value,rule,reason
TUP-CBOE-USOPT-H5-SURFRV-MIX,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CBOE-USOPT-H5-SURFRV-MIX,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-CBOE-USOPT-H5-SURFRV-MIX,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-CBOE-USOPT-H5-SURFRV-MIX,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CBOE-USOPT-H5-SURFRV-MIX,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-CME-ES-H1-QDEP-PAS,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CME-ES-H1-QDEP-PAS,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified. A queue-dependent mechanism additionally needs order-level history."
TUP-CME-ES-H1-QDEP-PAS,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-CME-ES-H1-QDEP-PAS,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CME-ES-H1-QDEP-PAS,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-CME-ES-H3-OFI-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CME-ES-H3-OFI-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-CME-ES-H3-OFI-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-CME-ES-H3-OFI-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CME-ES-H3-OFI-AGG,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-CME-NQ-H3-OFI-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CME-NQ-H3-OFI-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-CME-NQ-H3-OFI-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-CME-NQ-H3-OFI-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CME-NQ-H3-OFI-AGG,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-CME-TSY-H2-QREPL-MIX,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CME-TSY-H2-QREPL-MIX,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-CME-TSY-H2-QREPL-MIX,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
