candidate_id,live_feed,historical_feed,PIT_reconstructable,L1_available,L2_available,L3_available,queue_replay_possible,timestamp_adequacy,venue_live_feed_min_interval_us,candidate_horizon_min_us,cadence_vs_horizon,depth_source_id,history_source_id,PIT_source_id,timestamp_source_id,feasibility_note,consistency_note,unknown_fields
TUP-CME-ES-H1-QDEP-PAS,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,UNKNOWN,10000,BLOCKED,SRC-0107,SRC-0123,UNKNOWN,UNKNOWN,"Live full-depth MBO is verified; the historical order-level package, its cost and its timestamp semantics are not locked, so replay and PIT reconstruction are BLOCKED rather than PASS.",NO_CONTRADICTION_DETECTED,NONE
TUP-CME-ES-H3-OFI-AGG,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,UNKNOWN,1000000,BLOCKED,SRC-0107,SRC-0123,UNKNOWN,UNKNOWN,"Live full-depth MBO is verified; the historical order-level package, its cost and its timestamp semantics are not locked, so replay and PIT reconstruction are BLOCKED rather than PASS.",NO_CONTRADICTION_DETECTED,NONE
TUP-CME-NQ-H3-OFI-AGG,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,UNKNOWN,1000000,BLOCKED,SRC-0107,SRC-0123,UNKNOWN,UNKNOWN,"Live full-depth MBO is verified; the historical order-level package, its cost and its timestamp semantics are not locked, so replay and PIT reconstruction are BLOCKED rather than PASS.",NO_CONTRADICTION_DETECTED,NONE
TUP-CME-WTI-H4-FLOWVOL-AGG,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,UNKNOWN,15000000,BLOCKED,SRC-0107,SRC-0123,UNKNOWN,UNKNOWN,"Live full-depth MBO is verified; the historical order-level package, its cost and its timestamp semantics are not locked, so replay and PIT reconstruction are BLOCKED rather than PASS.",NO_CONTRADICTION_DETECTED,NONE
TUP-CME-TSY-H2-QREPL-MIX,PASS,BLOCKED,BLOCKED,PASS,PASS,PASS,BLOCKED,BLOCKED,UNKNOWN,100000,BLOCKED,SRC-0107,SRC-0123,UNKNOWN,UNKNOWN,"Same as the other CME rows, with the added complication that Treasury spread matching rules have changed by notice (EVD-0003), so a queue replay would have to be rule-versioned.",NO_CONTRADICTION_DETECTED,NONE
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,PASS,BLOCKED,BLOCKED,PASS,PASS,FAIL,BLOCKED,BLOCKED,UNKNOWN,100000,BLOCKED,SRC-0108,SRC-0109,UNKNOWN,UNKNOWN,"Live TotalView depth is verified. Consolidated Tick History is Level 1 (EVD-0005) and cannot reconstruct individual order queues, so L1-only history is a verified FAIL for queue work while the order-level historical package remains BLOCKED. L3_available records the verified fact that the accessible history product carries no order-level data.",NO_CONTRADICTION_DETECTED,NONE
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,PASS,BLOCKED,BLOCKED,PASS,PASS,FAIL,BLOCKED,BLOCKED,UNKNOWN,100000,BLOCKED,SRC-0108,SRC-0109,UNKNOWN,UNKNOWN,"Live TotalView depth is verified. Consolidated Tick History is Level 1 (EVD-0005) and cannot reconstruct individual order queues, so L1-only history is a verified FAIL for queue work while the order-level historical package remains BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,BLOCKED,UNKNOWN,10000,BLOCKED,SRC-0108,SRC-0109,UNKNOWN,UNKNOWN,"Killed variant: the only history this row would use is the verified Level-1 product, so queue replay is a verified FAIL rather than BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,PASS,BLOCKED,BLOCKED,BLOCKED,BLOCKED,FAIL,BLOCKED,BLOCKED,UNKNOWN,15000000,BLOCKED,SRC-0108,UNKNOWN,UNKNOWN,UNKNOWN,"NOII existence is verified live; historical NOII depth/cost, auction print history and exact dissemination timestamp semantics are not locked. Auction matching is not continuous-book queue logic, so L3_available is recorded as FAIL for the mechanism.",NO_CONTRADICTION_DETECTED,NONE
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,100000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Fee schedule is verified but neither proprietary depth availability nor order-level history is locked for this project's access path, and no timestamp semantics are verified.",NO_CONTRADICTION_DETECTED,NONE
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,1000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Dead on fees, so data-package work was not performed; fields stay BLOCKED rather than being filled with plausible vendor capabilities.",NO_CONTRADICTION_DETECTED,NONE
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,1000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dead on fees; required L2/L3 schema was not locked in the M1-A pass.,NO_CONTRADICTION_DETECTED,NONE
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,FAIL,BLOCKED,FAIL,PASS,PASS,FAIL,FAIL,BLOCKED,500000,10000,FAIL,SRC-0111,SRC-0118,UNKNOWN,UNKNOWN,"Killed by verified feed cadence: the documented book snapshot cadence is at least 0.5 s and levels are aggregate, so the 10-100 ms observation loop is a verified FAIL.",NO_CONTRADICTION_DETECTED,NONE
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,PASS,BLOCKED,BLOCKED,PASS,PASS,FAIL,FAIL,BLOCKED,500000,1000000,PASS,SRC-0111,SRC-0118,UNKNOWN,UNKNOWN,"Live L2/trades are observable at the documented seconds-scale cadence; event-by-event historical replay and market-wide liquidation observability are not verified. Aggregate levels give no queue identifiers, so queue replay is FAIL for the mechanism.",NO_CONTRADICTION_DETECTED,NONE
