date,symbol,locate,reference_product,observations,bid_match_rate,ask_match_rate,spread_match_rate,unexplained_mismatches,note
2019-07-30,AAPL,14,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,MSFT,5289,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,MU,5334,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,AMD,337,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,INTC,4184,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,GOOG,3459,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,FB,2741,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,GOOGL,3460,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,QCOM,6494,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,CSCO,1740,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,NVDA,5702,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,PYPL,6474,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,SBUX,6964,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,CMCSA,1534,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,TSLA,7928,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,AMAT,325,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,TXN,7991,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,AMZN,386,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,PEP,6089,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,EBAY,2277,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,MRVL,5273,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,FISV,2884,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,ZION,8813,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,XEL,8665,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
2019-07-30,ATVI,604,INTERNAL_ORDER_MAP_REBUILD,636,1.0,1.0,1.0,0,"No provider BBO/MBP artifact is contained in the TotalView-ITCH product, so the independent representation used here is a full rebuild of every price level from the order map, compared against the incrementally maintained levels and best quotes. A provider BBO cross-check remains CALCULATION_BLOCKED on a second data product."
