mechanism_id,name,economic_mechanism,economic_payer,payer_evidence_status,structural_driver,observable_signature,expected_horizon,persistence_explanation,capacity_constraint,failure_regime,strongest_support,strongest_counterargument,modern_replication_status,report_evidence_status,evidence_class,source_id,status
MECH-OFI,Order-flow imbalance,Net aggressive demand relative to available liquidity moves price,Urgent liquidity demand,EXTRAPOLATION,Signed book/trade events versus depth,Signed aggressive volume minus available liquidity at the touch,H1-H3,UNKNOWN,UNKNOWN,UNKNOWN,"Cont, Kukanov & Stoikov: robust short-horizon OFI/price relation in 50 U.S. equities (SRC-0102)",Current venue-specific net edge and decay are unknown; the equity sample does not transfer to CME/Eurex/crypto,NOT_REPLICATED_ON_TARGET_VENUES,SUPPORTED FINDING,SUPPORTED_FINDING,SRC-0011,REGISTERED
MECH-QIMB,Queue imbalance / depletion,One side's displayed queue is more vulnerable than the other,Liquidity demand and cancellations,EXTRAPOLATION,Bid/ask queue-size asymmetry and depletion rate,Queue-size asymmetry; depletion events,H1-H3,UNKNOWN,UNKNOWN,UNKNOWN,"Gould & Bonart 2015: next-mid-price direction predictable for ten liquid Nasdaq names, especially large-tick (SRC-0101)","2015 sample, gross/predictive only; execution cost and latency may consume it",NOT_REPLICATED_2026,SUPPORTED FINDING,SUPPORTED_FINDING,SRC-0011,REGISTERED
MECH-MICRO,Microprice,An imbalance-adjusted estimator of fair price,Not itself a payer mechanism,EXTRAPOLATION,Midpoint adjusted by book state,Estimator deviation from midpoint,H1-H3,UNKNOWN,UNKNOWN,UNKNOWN,Stoikov 2018: microprice improves on midpoint by incorporating imbalance (SRC-0104),A better estimator is not executable alpha,ESTIMATOR_ONLY,SUPPORTED FINDING as estimator,SUPPORTED_FINDING,SRC-0011,REGISTERED
MECH-REPLEN,Liquidity replenishment failure,The book fails to refill after aggressive flow,Liquidity suppliers withdrawing under toxicity,EXTRAPOLATION,Depth recovery rate; cancel/add dynamics,Depth recovery half-time after a depletion event,H2-H3,UNKNOWN,UNKNOWN,UNKNOWN,Extrapolated from the order-flow literature (SRC-0102),No current direct replication locked,NOT_REPLICATED,EXTRAPOLATION from order-flow literature,EXTRAPOLATION,SRC-0011,REGISTERED
MECH-ADVSEL,Adverse-selection avoidance,Value comes from not providing liquidity when informed/urgent flow arrives,Avoided losses to toxic takers,EXTRAPOLATION,Conditional post-fill markouts,Markout distribution conditional on own fill,H2-H4,UNKNOWN,UNKNOWN,UNKNOWN,Mechanical structure is uncontroversial,"Requires real or simulated fills, not forecasts; unmeasured in this evidence lock",UNMEASURED,CONTESTED/UNMEASURED here,CONTESTED_HYPOTHESIS,SRC-0011,REGISTERED
MECH-SPREADCAP,Spread capture,A passive trader earns spread/rebate for warehousing inventory and liquidity risk,Aggressive traders paying for immediacy,EXTRAPOLATION,Passive fills and subsequent markout,Passive fill events with post-fill price path,H2-H4,UNKNOWN,UNKNOWN,UNKNOWN,Mechanical fee/spread structure exists (SRC-0114),Queue position and adverse selection can reverse gross spread,PROFITABILITY_UNKNOWN,Mechanical structure exists; profitability UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-INV,Inventory effects,Dealer/market-maker inventory creates temporary price pressure,Risk-averse liquidity suppliers/takers,EXTRAPOLATION,Price response conditional on inferred inventory,Latent inventory proxies,H3-H5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Inventory is usually latent and not observable in this evidence lock,NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-VOLREG,Volatility transitions,Regime shifts alter conditional edge and execution cost,Risk transfer,EXTRAPOLATION,"Book thinning, trade intensity, realized volatility",Volatility state transitions,H3-H5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Regime classification can lag and costs rise precisely in transitions,NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-LIQCASCADE,Forced liquidation cascades,Leveraged positions are mechanically closed,Liquidated accounts,EXTRAPOLATION,"Liquidation events, rapid directional flow, leverage state",Liquidation prints and cascade onset,H2-H4,UNKNOWN,UNKNOWN,UNKNOWN,Mechanically plausible,Needs market-wide point-in-time liquidation data and after-cost decay evidence,NOT_REPLICATED,Mechanically plausible; direct edge evidence UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-STOPCASCADE,Stop cascades,Price triggers clustered conditional market orders,Stop holders,EXTRAPOLATION,Burst flow near salient levels,Flow bursts at salient price levels,H2-H4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Stop inventory is often unobservable ex ante,NOT_REPLICATED,CONTESTED HYPOTHESIS,CONTESTED_HYPOTHESIS,SRC-0011,REGISTERED
MECH-FUNDBASIS,Funding / basis dislocation,Position demand creates a carry wedge between venues or instruments,Leveraged directional demand / balance-sheet users,EXTRAPOLATION,"Funding rates, futures basis, borrow and carry",Funding rate and basis levels,H4-H5+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Capital, funding, borrow and regime risk matter; not locked here",NOT_REPLICATED,UNKNOWN in this lock,UNKNOWN,SRC-0011,REGISTERED
MECH-ROLL,Calendar roll effects,Mandated migration between expiries creates predictable flow,Hedgers and indexed mandates,EXTRAPOLATION,Spread volume/open-interest migration around the roll,Roll-window volume and OI migration,H4-H5+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Highly visible and professionally arbitraged,NOT_REPLICATED,UNKNOWN here,UNKNOWN,SRC-0011,REGISTERED
MECH-INDEXREBAL,Index / rebalance flows,Funds must trade to benchmark composition or weight changes,Benchmark-tracking mandates,EXTRAPOLATION,Published changes plus closing flow and auction imbalance,Published index changes with closing-auction flow,H4-H5,UNKNOWN,UNKNOWN,UNKNOWN,Structural mechanism plausible,Anticipation/crowding may transfer gains to earlier participants,NOT_REPLICATED,Net edge UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
