issue_id,resolution_method,resolution_stage,tier,title,migration_reason,destination
UNK-0006,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,"The full break-even cost envelope (spread, fees, slippage, adverse selection, impact) for each candidate.","MIGRATED from M1_BLOCKING (it was UNK-0006 there). Split: known mandatory cost floors remain M1-blocking (UNK-0001/0005/0011/0012/0013/0022/0028); realized slippage, impact and adverse selection are, by construction, measurement outputs of M2. Keeping them in M1 made M1 unclosable.",M1/work/m2_specs/
UNK-0007,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Passive fill probability conditional on queue state.,MIGRATED from M1_BLOCKING. Fill rates are an M2 output; the M1-relevant part (does an order-level feed exist to model them at all) is KG2 / UNK-0003 / UNK-0004.,M1/work/m2_specs/
UNK-0008,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Empirical signal half-life: the EV-versus-delay curve for each candidate signal.,"MIGRATED from M1_BLOCKING, and this is the single most important migration: requiring a measured half-life inside M1 made KG4 unpassable, which made M1-B impossible, which made M2 impossible. M1 now requires only that no *known physical* timing contradiction exists and that the delay experiment is preregistered.",M1/work/m2_specs/
UNK-0016,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Measured decision-to-market latency distribution (p50/p95/p99 plus jitter and deadline-miss rate) for this project's own stack.,"MIGRATED from M1_BLOCKING. The M1-relevant part is a *physical* check (feed cadence versus hypothesis horizon), which is computed in KG2/KG4 from verified venue facts. The latency of a pipeline that does not exist yet cannot be an M1 gate.",M1/work/m2_specs/
UNK-0017,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Reproducible hosted-Jev/local-System-One latency profile and incremental execution-aware utility versus a same-information classical baseline.,"MIGRATED from M1_BLOCKING to M2_MEASUREMENT: this is an empirical estimand, and requiring it inside M1 would have made the technology branch unfalsifiable rather than merely unfunded.",M1/work/m2_specs/
UNK-0019,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Fill-conditioned markout distribution (adverse selection) for every passive or crossing candidate.,MIGRATED from M1_BLOCKING: markout is an M2 output; the M1 question is whether the data to measure it exists (KG2).,M1/work/m2_specs/
UNK-0021,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Cross-venue source-to-decision-to-venue latency and stale-quote survival for a multi-venue U.S. equity tuple.,MIGRATED from M1_BLOCKING. M1 keeps the *structural* part via a physical latency check; the survival measurement itself is M2.,M1/work/m2_specs/
UNK-0026,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,"Independent external verification of any System-One/Jev capability claim used as a premise (calibration transport, latency, cost of operation).",MIGRATED to M2_MEASUREMENT; tracked because SUNK premises must not leak into M2 designs.,M1/work/m2_specs/
UNK-0032,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,4,Cost-sensitivity behaviour: does any surviving candidate remain viable under conservative fee/slippage assumptions?,"MIGRATED to M2_MEASUREMENT: it is a robustness output over measured inputs, and the project's own G4 gate places it after baseline evidence exists.",M1/work/m2_specs/
UNK-0024,DEFERRED,NON_BLOCKING,4,A candidate-specific measured basis for the WEAK label on the cross-venue stale-quote tuple.,NON_BLOCKING retained: recorded so judgment is not mistaken for evidence.,registry only (non-blocking)
UNK-0031,PUBLIC_RESEARCH,NON_BLOCKING,1,Transcription fidelity of the candidate-architecture paper's claim set.,NON_BLOCKING: the specimen supplies no economic premise; it bounds confidence only.,registry only (non-blocking)
UNK-0029,EMPIRICAL_MEASUREMENT,POST_M2,4,Capacity and market-impact evidence at an economically meaningful size for any survivor.,MIGRATED to POST_M2: capacity is only meaningful for a strategy that has already shown positive net EV; it cannot gate selection among candidates with unknown EV.,M1/work/m2_specs/
