candidate_id,candidate_class,pass_count,pass_gates,blocked_gates,failed_gates,closure_mode,autonomous_distance_to_eligibility,external_distance_to_eligibility,tier1_autonomous_blockers,autonomous_blockers,external_blockers,dispatch_note
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,TUPLE,3,KG1_MECHANISM|KG4_HALF_LIFE|KG5_FALSIFIABILITY,KG2_DATA|KG3_EXECUTION,NONE,AWAITING_EXTERNAL_CLOSURE,0,4,0,NONE,UNK-0004|UNK-0005|UNK-0018-NASDAQ|UNK-0033,3 of 5 gates PASS with no autonomous blocker left; 4 external/human item(s) decide the branch. Removed from autonomous dispatch and kept in the human queue.
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,1,1,1,UNK-0009-ECON-CRYPTO-SPOT,UNK-0034,1 of 5 gates PASS; 1 autonomous blocker(s) remain: UNK-0009-ECON-CRYPTO-SPOT.
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,1,1,1,UNK-0009-ECON-CRYPTO-SPOT,UNK-0034,1 of 5 gates PASS; 1 autonomous blocker(s) remain: UNK-0009-ECON-CRYPTO-SPOT.
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG3_EXECUTION,KG2_DATA|KG4_HALF_LIFE,DISPATCHABLE,1,2,1,UNK-0035,UNK-0010|UNK-0034,1 of 5 gates PASS; 1 autonomous blocker(s) remain: UNK-0035.
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,2,3,2,UNK-0023-EXCH-OTHER|UNK-0027-AUCTION,UNK-0004|UNK-0005|UNK-0018-NASDAQ,"1 of 5 gates PASS; 2 autonomous blocker(s) remain: UNK-0023-EXCH-OTHER, UNK-0027-AUCTION."
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,3,2,3,UNK-0009-ECON-CRYPTO-SPOT|UNK-0018-HYPERLIQUID|UNK-0035,UNK-0010|UNK-0034,"1 of 5 gates PASS; 3 autonomous blocker(s) remain: UNK-0009-ECON-CRYPTO-SPOT, UNK-0018-HYPERLIQUID, UNK-0035."
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,3,2,3,UNK-0009-ECON-CRYPTO-SPOT|UNK-0018-HYPERLIQUID|UNK-0035,UNK-0010|UNK-0034,"1 of 5 gates PASS; 3 autonomous blocker(s) remain: UNK-0009-ECON-CRYPTO-SPOT, UNK-0018-HYPERLIQUID, UNK-0035."
TUP-CME-ES-H1-QDEP-PAS,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,5,3,4,UNK-0002|UNK-0009-MECH-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-INDEX,UNK-0001|UNK-0003|UNK-0018-CME,"1 of 5 gates PASS; 5 autonomous blocker(s) remain: UNK-0002, UNK-0009-MECH-CME, UNK-0023-CME-DOCS, UNK-0023-LIT, UNK-0027-CME-INDEX."
TUP-CME-ES-H3-OFI-AGG,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,5,3,4,UNK-0002|UNK-0009-MECH-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-INDEX,UNK-0001|UNK-0003|UNK-0018-CME,"1 of 5 gates PASS; 5 autonomous blocker(s) remain: UNK-0002, UNK-0009-MECH-CME, UNK-0023-CME-DOCS, UNK-0023-LIT, UNK-0027-CME-INDEX."
TUP-CME-NQ-H3-OFI-AGG,TUPLE,1,KG5_FALSIFIABILITY,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE,NONE,DISPATCHABLE,5,3,4,UNK-0002|UNK-0009-MECH-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-INDEX,UNK-0001|UNK-0003|UNK-0018-CME,"1 of 5 gates PASS; 5 autonomous blocker(s) remain: UNK-0002, UNK-0009-MECH-CME, UNK-0023-CME-DOCS, UNK-0023-LIT, UNK-0027-CME-INDEX."
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,TUPLE,0,NONE,KG1_MECHANISM|KG3_EXECUTION|KG4_HALF_LIFE|KG5_FALSIFIABILITY,KG2_DATA,BLOCKED_NOT_CLOSE,0,1,0,NONE,UNK-0004,"0 of 5 gates PASS with no autonomous blocker and no external item on the candidate row itself; the deciding issues are scoped to its venue or family, or the branch is waiting on another gate."
TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG,TUPLE,0,NONE,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE|KG5_FALSIFIABILITY,NONE,BLOCKED_NOT_CLOSE,0,3,0,NONE,UNK-0005|UNK-0018-USSTOCK-CROSS|UNK-0033,"0 of 5 gates PASS with no autonomous blocker and no external item on the candidate row itself; the deciding issues are scoped to its venue or family, or the branch is waiting on another gate."
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,TUPLE,0,NONE,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE|KG5_FALSIFIABILITY,NONE,BLOCKED_NOT_CLOSE,0,4,0,NONE,UNK-0005|UNK-0018-BZX|UNK-0022|UNK-0033,"0 of 5 gates PASS with no autonomous blocker and no external item on the candidate row itself; the deciding issues are scoped to its venue or family, or the branch is waiting on another gate."
TUP-FX-ECN-H2H3-LEADLAG-AGG,TUPLE,0,NONE,KG1_MECHANISM|KG2_DATA|KG3_EXECUTION|KG4_HALF_LIFE|KG5_FALSIFIABILITY,NONE,DISPATCHABLE,1,1,1,UNK-0015,UNK-0027-OPTIONS-EVENT-FX,0 of 5 gates PASS; 1 autonomous blocker(s) remain: UNK-0015.
