candidate_id,rule,verdict,basis,detail,source_id
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,HC7_EXECUTION_GATE_FAIL,ELIMINATED,KG3_EXECUTION = FAIL,The execution envelope is evidenced as unworkable as stated.,SRC-0026
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,HC1_FEE_FLOOR_WITHOUT_GROSS_EVIDENCE,ELIMINATED,verified round-trip fee floor 120.0 bps; no venue-specific supporting evidence and no evidenced gross edge,Evidence-absence elimination: a verified cost floor stands against an unevidenced gross effect. Reversible by one venue-specific after-cost measurement.,SRC-0105|SRC-0106|SRC-0026
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,HC7_EXECUTION_GATE_FAIL,ELIMINATED,KG3_EXECUTION = FAIL,The execution envelope is evidenced as unworkable as stated.,SRC-0026
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,HC1_FEE_FLOOR_WITHOUT_GROSS_EVIDENCE,ELIMINATED,verified round-trip fee floor 160.0 bps; no venue-specific supporting evidence and no evidenced gross edge,Evidence-absence elimination: a verified cost floor stands against an unevidenced gross effect. Reversible by one venue-specific after-cost measurement.,SRC-0105|SRC-0106|SRC-0026
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,HC2_FEED_CADENCE_VS_HORIZON,ELIMINATED,verified feed interval 500000 us > horizon floor 10000 us,The observation loop cannot run at the hypothesised horizon.,SRC-0111
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,HC3_QUEUE_REPLAY_UNSUPPORTED,ELIMINATED,queue reconstruction is a verified FAIL for this data layer,Queue-dependent mechanism cannot be evaluated on the available history.,SRC-0109|SRC-0111
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,HC3_QUEUE_REPLAY_UNSUPPORTED,ELIMINATED,queue reconstruction is a verified FAIL for this data layer,Queue-dependent mechanism cannot be evaluated on the available history.,SRC-0109|SRC-0111
TUP-METHOD-PASSIVE-TOUCHFILL,HC5_METHOD_RULE,ELIMINATED,Not a strategy; a fill assumption,"touch=fills omits queue position and adverse selection, so it cannot answer the economic question.",SRC-0011
TUP-METHOD-PASSIVE-TOUCHFILL,HC8_FALSIFIABILITY_GATE_FAIL,ELIMINATED,KG5_FALSIFIABILITY = FAIL,No pre-registerable falsifier can be written for this row. A reformulation is a new candidate.,SRC-0026
TUP-GENERIC-CRYPTO-MICRO,HC4_UNIVERSE_DEFINITION,ELIMINATED,Named unit of analysis is not a valid candidate,"Fees, data mechanics and matching differ materially inside the named universe, so no measurable outcome can be attributed.",SRC-0011
TUP-GENERIC-CRYPTO-MICRO,HC8_FALSIFIABILITY_GATE_FAIL,ELIMINATED,KG5_FALSIFIABILITY = FAIL,No pre-registerable falsifier can be written for this row. A reformulation is a new candidate.,SRC-0026
TUP-GENERIC-CME-QUEUE,HC4_UNIVERSE_DEFINITION,ELIMINATED,Named unit of analysis is not a valid candidate,"Fees, data mechanics and matching differ materially inside the named universe, so no measurable outcome can be attributed.",SRC-0011
TUP-GENERIC-CME-QUEUE,HC8_FALSIFIABILITY_GATE_FAIL,ELIMINATED,KG5_FALSIFIABILITY = FAIL,No pre-registerable falsifier can be written for this row. A reformulation is a new candidate.,SRC-0026
TUP-SYSTEMONE-HARDCORE-ENGINE,HC6_GOVERNANCE_OR_TECHNOLOGY_ADMISSION,ELIMINATED,"Admission-policy boundary, not a tradable hypothesis","Entry is barred by project policy or by an unmeasured technology premise, not by market evidence.",SRC-0015|SRC-0011
TUP-SYSTEMONE-HARDCORE-ENGINE,HC7_EXECUTION_GATE_FAIL,ELIMINATED,KG3_EXECUTION = FAIL,The execution envelope is evidenced as unworkable as stated.,SRC-0026
TUP-SYSTEMONE-HARDCORE-ENGINE,HC8_FALSIFIABILITY_GATE_FAIL,ELIMINATED,KG5_FALSIFIABILITY = FAIL,No pre-registerable falsifier can be written for this row. A reformulation is a new candidate.,SRC-0026
TUP-JEV-HOSTED-LATENCY-UNMEASURED,HC6_GOVERNANCE_OR_TECHNOLOGY_ADMISSION,ELIMINATED,"Admission-policy boundary, not a tradable hypothesis","Entry is barred by project policy or by an unmeasured technology premise, not by market evidence.",SRC-0015|SRC-0011
TUP-JEV-HOSTED-LATENCY-UNMEASURED,HC7_EXECUTION_GATE_FAIL,ELIMINATED,KG3_EXECUTION = FAIL,The execution envelope is evidenced as unworkable as stated.,SRC-0026
TUP-JEV-HOSTED-LATENCY-UNMEASURED,HC8_FALSIFIABILITY_GATE_FAIL,ELIMINATED,KG5_FALSIFIABILITY = FAIL,No pre-registerable falsifier can be written for this row. A reformulation is a new candidate.,SRC-0026
