candidate_id,candidate_class,report_status,status_ceiling,ceiling_permits_status,status_basis,gates_diverged_from_m1a,m1a_vector,computed_vector
TUP-CME-ES-H1-QDEP-PAS,TUPLE,WEAK,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION. M1-A label preserved (WEAK); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|PASS
TUP-CME-ES-H3-OFI-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|PASS
TUP-CME-NQ-H3-OFI-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|PASS
TUP-CME-TSY-H2-QREPL-MIX,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|BLOCKED,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-CME-WTI-H4-FLOWVOL-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,TUPLE,WEAK,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (WEAK); the ceiling forbids ALIVE while a gate is BLOCKED.",KG1_MECHANISM|KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,PASS|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,TUPLE,WEAK,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (WEAK); the ceiling forbids ALIVE while a gate is BLOCKED.",KG1_MECHANISM|KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,PASS|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|PASS
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,TUPLE,WEAK,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (WEAK); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,TUPLE,DEAD,DEAD,YES,Computed gates: FAIL on KG3_EXECUTION. Rule trace: Verified round-trip fee floor of 120.0 bps stands against a gross effect no source in the package evidences. Reversible by one venue-specific after-cost measurement.,KG4_HALF_LIFE,BLOCKED|BLOCKED|FAIL|BLOCKED|PASS,BLOCKED|BLOCKED|FAIL|PASS|PASS
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,TUPLE,DEAD,DEAD,YES,Computed gates: FAIL on KG3_EXECUTION. Rule trace: Verified round-trip fee floor of 160.0 bps stands against a gross effect no source in the package evidences. Reversible by one venue-specific after-cost measurement.,KG4_HALF_LIFE,BLOCKED|BLOCKED|FAIL|BLOCKED|PASS,BLOCKED|BLOCKED|FAIL|PASS|PASS
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,TUPLE,DEAD,DEAD,YES,"Computed gates: FAIL on KG2_DATA, KG4_HALF_LIFE. Rule trace: Verified feed interval 500000 us exceeds the hypothesis horizon floor 10000 us: the observation loop cannot run at the hypothesised horizon.; Verified feed cadence is slower than the hypothesis horizon: a physical timing contradiction, not a missing measurement.",KG4_HALF_LIFE,BLOCKED|FAIL|BLOCKED|BLOCKED|PASS,BLOCKED|FAIL|BLOCKED|FAIL|PASS
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|PASS
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|PASS
TUP-EUREX-FESX-H2H3-OFIQ-MIX,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-CBOE-USOPT-H5-SURFRV-MIX,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
