assumption_id,hypothesis_id,statement,class,why_required,current_evidence,confidence_state,falsifier,test,observable_residual,enforced_in_code,owner,last_reviewed,source_id,status
ASM-0001,UNKNOWN,"Horizon bands H1..H5 label the ranges 10-100 ms, 100 ms-1 s, 1-15 s, 15 s-5 min and 5 min+, and those millisecond endpoints map to the microsecond endpoints used in candidate_tuples.",timing / point-in-time availability,Candidates are stored with machine-usable horizon bounds; the report expresses horizons as bands.,Band labels appear in SRC-0011; the microsecond endpoints are this convention.,strong,"A canonical artifact redefines the bands, or an external study is compared against them at a different resolution.",Compare band endpoints against the source artifact whenever a candidate horizon is quoted.,Candidate rows change horizon_min_us/horizon_max_us.,YES,research-engineering,2026-09-20,SRC-0011,ACTIVE
ASM-0002,UNKNOWN,"Numeric venue-fact columns are nullable, and NULL is interpreted as UNKNOWN only when the row's status/unknown_fields declaration accounts for it.",data integrity,Prevents an empty cell from being read as zero or as verified.,Handoff ZI-0.2 and SRC-0026 require NULL+UNKNOWN for missing values.,strong,A numeric fact is populated without a paired source column.,Validator rule V1/V2.,Validation failure count for missing provenance.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0003,UNKNOWN,Only evidence records whose direction is SUPPORTS count as candidate support evidence; WEAKENS and NEUTRAL records are counted separately and are never netted against each other.,statistical identification,Counting is descriptive and must not become a hidden score.,"Handoff D0.3 requires descriptive counts, not a quality score. Tier-2 audit found the M1-A artifact itself counting NEUTRAL feasibility facts as support for a candidate.",strong,A formal scoring rule is registered with its own evidence basis.,validator rule V3 (support counts recomputed from direction).,Support counts differ from a naive contains-id count.,YES,research-engineering,2026-09-20,SRC-0026|SRC-0011,ACTIVE
ASM-0004,UNKNOWN,"Report-assigned candidate labels are treated as authoritative judgments of the M1-A artifact and are preserved, with the label's basis recorded in candidate_tuples.status_basis.",policy composition,"Zero-fabrication rules forbid overriding a canonical artifact's judgment, but the judgment must remain auditable.",SRC-0011 assigns WEAK/UNKNOWN/DEAD explicitly; the labels are carried verbatim.,strong,A later canonical artifact revises a label.,Reconcile labels against report text at every ingest.,A label exists whose basis is not recorded.,YES,research-engineering,2026-09-20,SRC-0011,ACTIVE
ASM-0005,UNKNOWN,"A missing numeric value is recorded as NULL/UNKNOWN and is never substituted by zero, a midpoint, an industry-typical figure or a default estimate.",data integrity,"Prevents fabricated precision in cost, latency and fee arithmetic.",Handoff ZI-0.2; SRC-0018 label audit; SRC-0024 known-unknowns.,strong,Any artifact cell carries a placeholder number where evidence is absent.,Validator rule V2 plus review of every numeric column.,Count of non-null numeric cells without sources.,YES,research-engineering,2026-09-20,SRC-0026|SRC-0018,ACTIVE
ASM-0006,UNKNOWN,"Identifier schemes are deterministic and stable: SRC-#### registry, EVD-#### evidence, VEN-*, MECH-*, TUP-*, UNK-#### issues, OQ-#### questions, ASM-#### assumptions, KG# gates.",data integrity,Cross-artifact references must remain resolvable between sessions.,Handoff C2 example schemes.,strong,"Two rows share an id, or an id is re-used after deletion.",Validator rule V6 (uniqueness) and V4 (referential integrity).,Duplicate-id and dangling-reference counts.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0007,UNKNOWN,The M1-A incompleteness verdict is not overridden by any later artifact; PROJECT_STATE.md records it until evidence actually changes it.,policy composition,Prevents an optimistic architecture proposal from silently closing M1-A.,SRC-0011 states M1-A INCOMPLETE; the attachment and SRC-0026 both forbid overriding it.,strong,Decision-critical evidence for every blocked invariant is produced.,PROJECT_STATE cross-check against M1/validation/report.json.,M1-A status flips without new evidence.,YES,research-engineering,2026-09-20,SRC-0011|SRC-0026,ACTIVE
ASM-0008,UNKNOWN,Kill gates are tri-state: FAIL means evidence shows the requirement cannot be met; BLOCKED means it cannot yet be judged; PASS requires cited evidence that the requirement is met. Any FAIL forces DEAD and any BLOCKED forbids ALIVE.,policy composition,Makes partial evidence structurally unable to look like success.,Handoff C10 and SRC-0026 D0.4.,strong,A candidate is ALIVE while a gate is BLOCKED.,Validator rule V5.,Gate table versus status column.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0009,UNKNOWN,"Where the M1-A artifact assigns WEAK or UNKNOWN to a tuple, that label is preserved rather than recomputed from gate states, because WEAK encodes the existence of constraining evidence that gates alone do not express.",policy composition,WEAK and UNKNOWN differ in why they are not ALIVE; collapsing them would lose information.,SRC-0011 explicitly warns that WEAK is not 'better' than UNKNOWN.,strong,A later artifact supplies a measured basis for relabelling.,Compare label against status_basis text.,Label/basis mismatch.,YES,research-engineering,2026-09-20,SRC-0011,ACTIVE
ASM-0010,UNKNOWN,"candidate_tuples.blocking_issue_ids is derived from the issue registry (severity=BLOCKING and the candidate named in candidate_id or affected_candidate_ids), plus explicitly declared candidate-local entries; it is not hand-maintained prose.",data integrity,Blockers must stay visible and recomputable after edits.,Handoff D0.4 requires blocking_issue_ids in the gate output.,strong,"An issue blocks a candidate but is absent from the candidate's list, or vice versa.",Recompute lists from the registry and diff.,Diff count between declared and derived.,PARTIAL,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0011,UNKNOWN,"Fees are stored in their native unit (bps, percent, USD/share, USD/contract) and are not converted across units unless the conversion inputs are present (for USD/share, a price).",execution / fill,A $/share fee has no bps equivalent without a price; converting anyway would invent a number.,Cboe BZX rates are USD/share; Coinbase/Kraken are percentage-based.,strong,A conversion is published without its inputs.,Inspector of execution_envelopes fee-unit columns.,bps columns populated for a USD/share venue.,YES,research-engineering,2026-09-20,SRC-0114|SRC-0105|SRC-0106,ACTIVE
ASM-0012,UNKNOWN,"KnownCostFloor is the sum of verified mandatory cost components only, and is reported as a lower bound on costs, never as a break-even or an expected value.",execution / fill,Prevents a partial cost table from being read as full economics.,Handoff D0.1 defines the two quantities separately.,strong,KnownCostFloor is quoted as break-even.,Cost module unit tests plus readiness report wording.,Misuse of the floor in any downstream artifact.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0013,UNKNOWN,"FullBreakEven is computed only when every required component (spread, fees, slippage, adverse selection, impact) is known or explicitly parameterised; otherwise it stays UNKNOWN.",execution / fill,An incomplete break-even would misstate viability in both directions.,Handoff D0.1 formula rule.,strong,A full break-even is published with an unknown term.,Cost module unit tests.,Non-null FullBreakEven while a component is unset.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0014,UNKNOWN,"No half-life is inferred from 'next tick', 'short horizon' or 'predictive'; without an empirical EV-versus-delay curve the half-life stays UNKNOWN and latency_fit stays BLOCKED.",latency / signal half-life,A fabricated decay constant would drive model and venue choices.,SRC-0011 states this explicitly for every serious candidate; SRC-0016 requires EV(delay).,strong,An EV(delay) curve is measured and the fit family justified by that data.,Latency module refuses to emit a fit without curve inputs.,half_life or latency_fit populated without curve evidence.,YES,research-engineering,2026-09-20,SRC-0011|SRC-0016,ACTIVE
ASM-0015,UNKNOWN,"Non-blocking unknowns are still registered, because an unrecorded unknown becomes a hidden assumption; they are excluded from the blocking set but never dropped.",data integrity,Keeps the residual visible without inflating the blocker count.,Handoff C8 severity vocabulary includes NON_BLOCKING.,strong,A non-blocking unknown disappears from the registry.,Registry diff between runs.,Issue count by severity.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
