venue_id,instrument,asset_class,venue,market_structure,structure_source_id,matching_algorithm,matching_algorithm_source_id,matching_algorithm_status,tick_size,tick_size_unit,tick_size_source_id,lot_size,lot_size_unit,lot_size_source_id,maker_fee_value,maker_fee_unit,maker_fee_source_id,taker_fee_value,taker_fee_unit,taker_fee_source_id,rebate_value,rebate_unit,rebate_source_id,clearing_fee_value,clearing_fee_unit,clearing_fee_source_id,other_exchange_fee_value,other_exchange_fee_unit,other_exchange_fee_source_id,perp_open_fee_value,perp_open_fee_unit,perp_open_fee_source_id,perp_close_fee_value,perp_close_fee_unit,perp_close_fee_source_id,funding_value,funding_unit,funding_source_id,margin_requirement,margin_requirement_unit,margin_requirement_source_id,trading_hours,trading_hours_source_id,live_feed,live_feed_source_id,historical_feed,historical_feed_source_id,L1_available,L2_available,L3_MBO_available,depth_source_id,live_feed_min_interval_us,live_feed_min_interval_source_id,timestamp_semantics,timestamp_semantics_source_id,API_protocol,API_protocol_source_id,rate_limits,rate_limits_source_id,colocation_available,colocation_source_id,small_prop_access,jurisdiction,fee_notes,access_notes,unknown_fields,status
VEN-CME-ES,ES (E-mini S&P 500 future),Futures,CME Globex,"Electronic central limit order book; full-depth MBO/MBP disseminated through CME MDP Premium (MDP 3.0/SBE, dual-feed UDP multicast)",SRC-0107,UNKNOWN,SRC-0112,PRODUCT_SPECIFIC_UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN (CME publishes per-product hours; not locked in the M1-A pass),UNKNOWN,MBO full depth + MBP available via MDP Premium,SRC-0107,"Advertised up to full order book; depth, licensing, delivery format and cost not locked",SRC-0123,TRUE,TRUE,TRUE,SRC-0107,,UNKNOWN,UNKNOWN,UNKNOWN,MDP 3.0 over SBE/UDP multicast (market data); trade/order protocol not locked,SRC-0115,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Economical broker/direct path unverified,UNKNOWN,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.",Direct CME connectivity exists; economical broker/direct path and measured latency remain unverified.,tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,PARTIAL
VEN-CME-NQ,NQ (E-mini Nasdaq-100 future),Futures,CME Globex,"Electronic central limit order book; full-depth MBO/MBP disseminated through CME MDP Premium (MDP 3.0/SBE, dual-feed UDP multicast)",SRC-0107,UNKNOWN,SRC-0112,PRODUCT_SPECIFIC_UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN (CME publishes per-product hours; not locked in the M1-A pass),UNKNOWN,MBO full depth + MBP available via MDP Premium,SRC-0107,"Advertised up to full order book; depth, licensing, delivery format and cost not locked",SRC-0123,TRUE,TRUE,TRUE,SRC-0107,,UNKNOWN,UNKNOWN,UNKNOWN,MDP 3.0 over SBE/UDP multicast (market data); trade/order protocol not locked,SRC-0115,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Economical broker/direct path unverified,UNKNOWN,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.",Direct CME connectivity exists; economical broker/direct path and measured latency remain unverified.,tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,PARTIAL
VEN-CME-TSY,Treasury future (exact contract UNSPECIFIED: contract family only),Futures,CME Globex,Electronic central limit order book; fixed-income security definitions documented in MDP 3.0; Treasury calendar-spread matching algorithms have been changed by CME notice,SRC-0124,UNKNOWN,SRC-0112,CHANGED_BY_NOTICE_RULE_UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN (CME publishes per-product hours; not locked in the M1-A pass),UNKNOWN,MBO full depth + MBP available via MDP Premium,SRC-0107,"Advertised up to full order book; depth, licensing, delivery format and cost not locked",SRC-0123,TRUE,TRUE,TRUE,SRC-0107,,UNKNOWN,UNKNOWN,UNKNOWN,MDP 3.0 over SBE/UDP multicast (market data); trade/order protocol not locked,SRC-0115,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Economical broker/direct path unverified,UNKNOWN,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.","FCM/direct-feed arrangement required; instrument family not narrowed to an exact contract, so no cost or rule can be looked up.",tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,UNKNOWN
VEN-CME-WTI,WTI crude oil future (contract month UNSPECIFIED),Futures,CME Globex,"Electronic central limit order book; full-depth MBO/MBP disseminated through CME MDP Premium (MDP 3.0/SBE, dual-feed UDP multicast)",SRC-0107,UNKNOWN,SRC-0112,PRODUCT_SPECIFIC_UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN (CME publishes per-product hours; not locked in the M1-A pass),UNKNOWN,MBO full depth + MBP available via MDP Premium,SRC-0107,"Advertised up to full order book; depth, licensing, delivery format and cost not locked",SRC-0123,TRUE,TRUE,TRUE,SRC-0107,,UNKNOWN,UNKNOWN,UNKNOWN,MDP 3.0 over SBE/UDP multicast (market data); trade/order protocol not locked,SRC-0115,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Economical broker/direct path unverified,UNKNOWN,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.",Instrument family not narrowed to an exact contract month.,tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,UNKNOWN
VEN-NASDAQ-CONT,Large-tick U.S. listed stock (symbol UNSPECIFIED),Equities,Nasdaq (continuous book),Displayed-depth electronic limit order book; fragmented national market where one venue book is not the whole market,SRC-0108,UNKNOWN,UNKNOWN,UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN (U.S. equity session hours not locked in the M1-A pass),UNKNOWN,Nasdaq TotalView-ITCH displayed depth/order information,SRC-0108,U.S. Equity Tick History is consolidated Level-1 only; order-level history requires separate ITCH/TotalView-depth procurement,SRC-0109,TRUE,TRUE (displayed depth via TotalView),UNKNOWN (order-level live feed exists; historical package unresolved),SRC-0108,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (feed-level protocol not locked for this project's access path),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Main-book small-prop fee tier UNKNOWN,US,"Nasdaq main-book fee tier, routing economics and CAT/broker/clearing costs were not locked; all cost fields are UNKNOWN.",Fragmentation means a single-venue book is not the national market.,tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,PARTIAL
VEN-NASDAQ-AUCTION,Nasdaq-listed stock (closing auction),Equities,Nasdaq (auction),Auction with public NOII dissemination of indicative price and imbalance; IPO opening additionally includes a display-only period of at least ten minutes,SRC-0108,UNKNOWN,UNKNOWN,AUCTION_SPECIFIC_UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOII auction imbalance information available,SRC-0108,Historical NOII depth source and cost not locked,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,Cross/auction-specific fees were not verified for this tuple.,Order-type replication point-in-time is unverified.,tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,UNKNOWN
VEN-CBOEBZX-EQ,U.S. listed stock >= $1 (symbol UNSPECIFIED),Equities,Cboe BZX,"U.S. equity central limit order book; Cboe operates BZX, BYX, EDGA and EDGX as separate venues",SRC-0125,UNKNOWN,UNKNOWN,UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,0.003,USD_PER_SHARE,SRC-0114,0.0016,USD_PER_SHARE,SRC-0114,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (proprietary depth feed availability for this project not locked),UNKNOWN,UNKNOWN (order-level history source not locked),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Broker/membership routing determines realized fee codes,US,"Standard displayed-add rebate $0.0016/share and remove fee $0.0030/share for securities >= $1, effective 2026-09-01. Volume tiers, special fee codes, routing and CAT/broker/clearing are additional and unverified; maker_fee_value stays UNKNOWN because the standard displayed-add rate is a rebate, recorded in its own column.",Realized economics depend on broker/membership routing.,tick_size|lot_size|maker_fee_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,PARTIAL
VEN-CBOE-OPT,U.S. listed option (underlying/expiry UNSPECIFIED),Listed options,Cboe options venues,Multiple options venues with complex order priority and class-specific mechanics; a located schedule is effective 2026-09-01,SRC-0116,UNKNOWN,UNKNOWN,CLASS_SPECIFIC_UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US,"Options fee schedule exists (effective 2026-09-01) but class/order-type economics were not decomposed, so no fee value is recorded.",OPRA versus proprietary depth history not locked.,tick_size|lot_size|maker_fee_value|taker_fee_value|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,UNKNOWN
VEN-COINBASE-BTCUSD,BTC-USD spot,Crypto spot,Coinbase Exchange,Centralized maker-taker limit order book,SRC-0105,UNKNOWN,UNKNOWN,UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,40,BPS,SRC-0105,60,BPS,SRC-0105,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,U.S. access broadly practical; account/program eligibility determines realized fees,US (broadly practical per the M1-A pass),0-10k USD 30-day-volume tier: 60 bps taker / 40 bps maker; 400m+ tier is 4/0 bps outside the liquidity program. Exchange fee only.,Account/program eligibility can change realized economics.,tick_size|lot_size|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,PARTIAL
VEN-KRAKEN-BTCUSD,BTC/USD spot,Crypto spot,Kraken,Centralized maker-taker market,SRC-0106,UNKNOWN,UNKNOWN,UNRESOLVED,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,40,BPS,SRC-0106,80,BPS,SRC-0106,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Product availability varies by geography,UNKNOWN (product availability varies by geography),Tier 1 spot 0.40% maker / 0.80% taker; reductions require high volume/assets. Platform fee only.,Kraken documents geography-dependent product availability.,tick_size|lot_size|rebate_value|clearing_fee_value|other_exchange_fee_value|funding_value|margin_requirement|perp_open_fee_value|perp_close_fee_value|live_feed_min_interval_us,PARTIAL
