candidate_id,candidate_class,venue_id,execution_style,fee_source_ids,fee_unit_notes,one_way_maker_fee_bps,one_way_taker_fee_bps,round_trip_maker_maker_fee_bps,round_trip_maker_taker_fee_bps,round_trip_taker_taker_fee_bps,round_trip_flat_fee_bps,required_round_trip_fee_bps_for_style,known_cost_floor_bps,known_cost_floor_native_value,known_cost_floor_native_unit,required_round_trip_fee_native_value,known_cost_floor_known_components,known_cost_floor_missing_components,spread_bps,slippage_bps,adverse_selection_bps,impact_bps,funding_bps,clearing_broker_fees_bps,full_break_even_bps,full_break_even_status,full_break_even_unknown_components,break_even_source_ids,fee_unit_conversion_note,envelope_note,unknown_fields
TUP-CME-ES-H1-QDEP-PAS,TUPLE,VEN-CME-ES,PASSIVE,NONE,"Public fee search exhausted in this pass: fee and clearing-fee pages blocked, no filed blackline extracted, one non-primary figure rejected. All cost fields remain UNKNOWN pending a broker/FCM quote for the project's account path.",,,,,,UNKNOWN,UNKNOWN,,,UNKNOWN,,NONE,maker_fee|maker_fee_second_leg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"Passive candidate: the maker-side fee component is not verified for this venue, so no cost floor is computed. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|known_cost_floor_native_value|required_round_trip_fee_native_value|full_break_even_bps
TUP-CME-ES-H3-OFI-AGG,TUPLE,VEN-CME-ES,AGGRESSIVE,NONE,"Public fee search exhausted in this pass: fee and clearing-fee pages blocked, no filed blackline extracted, one non-primary figure rejected. All cost fields remain UNKNOWN pending a broker/FCM quote for the project's account path.",,,,,,UNKNOWN,UNKNOWN,,,UNKNOWN,,NONE,taker_fee|taker_fee_second_leg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"No verified fee value exists for this venue, so every cost field is UNKNOWN rather than zero. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|known_cost_floor_native_value|required_round_trip_fee_native_value|full_break_even_bps
TUP-CME-NQ-H3-OFI-AGG,TUPLE,VEN-CME-NQ,AGGRESSIVE,NONE,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.",,,,,,UNKNOWN,UNKNOWN,,,UNKNOWN,,NONE,taker_fee|taker_fee_second_leg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"No verified fee value exists for this venue, so every cost field is UNKNOWN rather than zero. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|known_cost_floor_native_value|required_round_trip_fee_native_value|full_break_even_bps
TUP-CME-TSY-H2-QREPL-MIX,TUPLE,VEN-CME-TSY,MIXED,NONE,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.",,,,,,UNKNOWN,UNKNOWN,,,UNKNOWN,,NONE,maker_fee|maker_fee_second_leg|taker_fee|taker_fee_second_leg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"MIXED style: the maker/taker mix is a strategy choice that has not been made, so the style-required round trip stays UNKNOWN. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|known_cost_floor_native_value|required_round_trip_fee_native_value|full_break_even_bps
TUP-CME-WTI-H4-FLOWVOL-AGG,TUPLE,VEN-CME-WTI,AGGRESSIVE,NONE,"No CME exchange, clearing, NFA or FCM fee value was verified in the M1-A pass; all cost fields are therefore UNKNOWN rather than assumed.",,,,,,UNKNOWN,UNKNOWN,,,UNKNOWN,,NONE,taker_fee|taker_fee_second_leg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"No verified fee value exists for this venue, so every cost field is UNKNOWN rather than zero. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|known_cost_floor_native_value|required_round_trip_fee_native_value|full_break_even_bps
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,TUPLE,VEN-NASDAQ-CONT,AGGRESSIVE,SRC-0203,"Base tier for securities >= $1: displayed-add rebate $0.0018/share (Tapes A and B) and $0.0013/share (Tape C); remove fee $0.0030/share for all MPIDs (SRC-0203, abbreviated page, authoritative text Nasdaq Equity 7 s.122). Higher rebate tiers require a consolidated-volume share unavailable to a small participant.",,,,,,UNKNOWN,UNKNOWN,,0.006,USD_PER_SHARE,0.006,taker_fee|taker_fee_second_leg,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"Taker fee is quoted per share: its bps equivalent needs a price and is therefore UNKNOWN here (ASM-0011). KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|full_break_even_bps
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,TUPLE,VEN-NASDAQ-CONT,AGGRESSIVE,SRC-0203,"Base tier for securities >= $1: displayed-add rebate $0.0018/share (Tapes A and B) and $0.0013/share (Tape C); remove fee $0.0030/share for all MPIDs (SRC-0203, abbreviated page, authoritative text Nasdaq Equity 7 s.122). Higher rebate tiers require a consolidated-volume share unavailable to a small participant.",,,,,,UNKNOWN,UNKNOWN,,0.006,USD_PER_SHARE,0.006,taker_fee|taker_fee_second_leg,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"Taker fee is quoted per share: its bps equivalent needs a price and is therefore UNKNOWN here (ASM-0011). KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|full_break_even_bps
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,TUPLE,VEN-NASDAQ-AUCTION,AUCTION,NONE,Cross/auction-specific fees were not verified for this tuple.,,,,,,UNKNOWN,UNKNOWN,,,UNKNOWN,,NONE,taker_fee|taker_fee_second_leg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"No verified fee value exists for this venue, so every cost field is UNKNOWN rather than zero. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|known_cost_floor_native_value|required_round_trip_fee_native_value|full_break_even_bps
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,TUPLE,VEN-CBOEBZX-EQ,PASSIVE,SRC-0114,"Standard rates effective 2026-09-01 for securities >= $1: displayed-add rebate $0.0016/share, remove fee $0.0030/share; codes B/V/Y tiered $0.0020-$0.0031/share at >=0.06%-1.00% ADAV (SRC-0206).",,,,,,UNKNOWN,UNKNOWN,,-0.0032,USD_PER_SHARE,-0.0032,displayed_add_rebate|displayed_add_rebate_second_leg,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|fees|slippage|adverse_selection|impact,NONE,Required round trip is UNKNOWN in bps because at least one verified leg is quoted per share (no price available) or the execution style is MIXED.,"Taker fee is quoted per share: its bps equivalent needs a price and is therefore UNKNOWN here (ASM-0011). Passive candidate: the standard displayed-add rate is a verified credit, so the native floor is the negative of that rebate (sourced). Realized fee codes may differ with routing and volume. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",one_way_taker_fee_bps|one_way_maker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|known_cost_floor_bps|full_break_even_bps
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,TUPLE,VEN-COINBASE-BTCUSD,AGGRESSIVE,SRC-0105,0-10k USD 30-day-volume tier: 60 bps taker / 40 bps maker; 400m+ tier is 4/0 bps outside the liquidity program. Exchange fee only.,40.0,60.0,80.0,100.0,120.0,UNKNOWN,120.0,120.0,120.0,BPS,120.0,taker_fee|taker_fee_second_leg,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BLOCKED_UNKNOWN_COMPONENTS,spread|slippage|adverse_selection|impact,NONE,Required round trip computed from verified fee legs.,"Round trip for AGGRESSIVE execution uses only verified fee legs; spread, slippage, impact and adverse selection remain separate unknown columns. KnownCostFloor is a lower bound on cost, not break-even (ASM-0012).",full_break_even_bps
