candidate_id,horizon_band,horizon_min_us,T_total_p50_ms,T_total_p95_ms,T_total_p99_ms,measured_components,half_life_ms,latency_fit,technology_status,note,blocking_issue_ids,unknown_fields
TUP-CME-ES-H1-QDEP-PAS,H1,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-CME-ES-H3-OFI-AGG,H3,1000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-CME-NQ-H3-OFI-AGG,H3,1000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-CME-TSY-H2-QREPL-MIX,H2-H3,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-CME-WTI-H4-FLOWVOL-AGG,H4,15000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,H2,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-NASDAQ-LARGETICK-H2-QIMB-PAS,H2,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,H2-H3,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,H4,15000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,H2-H3,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,H3,1000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,H3,1000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,H1,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,H3,1000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,H4,15000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-EUREX-FESX-H2H3-OFIQ-MIX,H2-H3,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-CBOE-USOPT-H5-SURFRV-MIX,H5,300000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,H5,300000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,H5,300000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,H5,300000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG,H1,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-FX-ECN-H2H3-LEADLAG-AGG,H2-H3,100000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,H3-H4,1000000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,PHYSICALLY_PLAUSIBLE_ONLY,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,H1-H2,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-METHOD-PASSIVE-TOUCHFILL,ANY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-GENERIC-CRYPTO-MICRO,H1-H4,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-GENERIC-CME-QUEUE,H1-H3,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,LATENCY_UNMEASURED,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-SYSTEMONE-HARDCORE-ENGINE,ANY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,INADMISSIBLE,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
TUP-JEV-HOSTED-LATENCY-UNMEASURED,H1-H3,10000,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,BLOCKED,INADMISSIBLE,No empirical EV-versus-delay curve exists; decay cannot be inferred from 'next tick' or 'short horizon' claims (ASM-0014).,UNK-0008|UNK-0016,NONE
