issue_id,severity,resolution_class,resolution_class_meaning,resolution_method,resolution_stage,tier,branch_impact,kill_potential,estimated_effort,affected_candidate_count,affected_candidate_ids,decision_prevented,specific_evidence_required,web_research_resolvable,requires_vendor_quote,requires_m2_measurement,branch_kill_potential,linked_open_question_ids,status,priority_score,priority_reason
UNK-0023,BLOCKING,A,resolvable by additional public/web research,PUBLIC_RESEARCH,M1_BLOCKING,1,GLOBAL,HIGH,SMALL,28,ALL_EXTERNAL_EVIDENCE (28 registered rows),"Independent verification of any external claim, including fee schedules that already killed candidates; the arithmetic is unaffected, the auditability is.",Token-by-token resolution to a primary URL with an access snapshot.,YES,UNKNOWN,UNKNOWN,HIGH,OQ-0001|OQ-0010|OQ-0016,IN_PROGRESS,60.0,"M1-BLOCKING retained: decisions already rest on these facts, and re-derivation is the cheapest available integrity upgrade."
UNK-0034,BLOCKING,UNKNOWN,UNKNOWN,DEFERRED,M1_BLOCKING,1,GLOBAL,HIGH,SMALL,8,TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS|TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG|TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX|TUP-KALSHI-EVENT-H5-EVENTINF-AGG|TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG|TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX|TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG|TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,"Access legality for four venue families, and therefore KG3 and KG5 for their candidates: no fill or cost model matters for a venue the operator may not use.","A statement of the operator's legal domicile, entity type and client classification, plus the per-venue eligibility determination that follows from it.",UNKNOWN,NO,UNKNOWN,HIGH,NONE,OPEN,60.0,"Not resolvable by research: it is a fact about the operator, not about the market. Registered so no session can quietly assume a jurisdiction that makes a branch look accessible."
UNK-0018,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,GLOBAL,HIGH,SMALL,28,ALL_CANDIDATES (28 registered rows),"Causal replay and therefore every queue, priority or fill claim; applies to any candidate that reaches replay.","A sample historical file and a live capture per venue, with the timestamp fields mapped and checked for ordering, duplication and clock domain.",PARTIAL,YES,YES,HIGH,NONE,IN_PROGRESS,30.0,"M1-BLOCKING retained: this is a data-adequacy fact, not a measurement."
UNK-0002,BLOCKING,A,resolvable by additional public/web research,PUBLIC_RESEARCH,M1_BLOCKING,1,SMALL,HIGH,SMALL,6,TUP-CME-ES-H1-QDEP-PAS|TUP-CME-ES-H3-OFI-AGG|TUP-CME-NQ-H3-OFI-AGG|TUP-CME-TSY-H2-QREPL-MIX|TUP-CME-WTI-H4-FLOWVOL-AGG|TUP-GENERIC-CME-QUEUE,Any queue-position or fill model for passive CME candidates (KG2/KG3).,"The current rulebook/matching specification for the exact contract and order type, plus its change history.",YES,UNKNOWN,UNKNOWN,HIGH,OQ-0003,IN_PROGRESS,24.0,M1-BLOCKING retained: matching mechanics are a Tier-1 fact and a queue model cannot be built without it.
UNK-0009,BLOCKING,A,resolvable by additional public/web research,PUBLIC_RESEARCH,M1_BLOCKING,2,GLOBAL,HIGH,MEDIUM,28,ALL_CANDIDATES (28 registered rows),"Mechanism credibility (KG1) for every candidate whose mechanism has no current, on-venue, after-cost replication.","Independent current replication on the exact venue/instrument including realistic costs, or an explicit disconfirming study.",YES,UNKNOWN,UNKNOWN,HIGH,OQ-0005|OQ-0014,OPEN,22.5,M1-BLOCKING retained: mechanism credibility is the core M1 question (handoff §15 KG1).
UNK-0027,BLOCKING,A,resolvable by additional public/web research,PUBLIC_RESEARCH,M1_BLOCKING,1,MEDIUM,HIGH,MEDIUM,10,TUP-CME-TSY-H2-QREPL-MIX|TUP-CME-WTI-H4-FLOWVOL-AGG|TUP-NASDAQ-LARGETICK-H2-QIMB-AGG|TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG|TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG|TUP-EUREX-FESX-H2H3-OFIQ-MIX|TUP-CBOE-USOPT-H5-SURFRV-MIX|TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX|TUP-KALSHI-EVENT-H5-EVENTINF-AGG|TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,M2 registration and any falsifier (KG5) for the affected rows.,"One exact instrument per surviving branch, with its tick/lot/matching and fee facts.",YES,UNKNOWN,UNKNOWN,HIGH,OQ-0008,OPEN,18.0,M1-BLOCKING retained: handoff §11 makes exact-instrument definition an M1 requirement.
UNK-0033,BLOCKING,UNKNOWN,UNKNOWN,EXTERNAL_ACTION,M1_BLOCKING,3,MEDIUM,HIGH,SMALL,4,TUP-NASDAQ-LARGETICK-H2-QIMB-AGG|TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG|TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS|TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG,"All-in per-share cost for every equity tuple, and therefore the cost floor used in KG3.",A chosen sponsor's published commission schedule or a written quote for the intended order flow.,UNKNOWN,YES,UNKNOWN,MEDIUM,NONE,OPEN,18.0,"New blocker surfaced by primary-source research: the exchange side of equity cost is public, the sponsored-access side is not, and the project cannot trade directly on these venues."
UNK-0010,BLOCKING,A,resolvable by additional public/web research,EXTERNAL_ACTION,M1_BLOCKING,3,SMALL,HIGH,SMALL,3,TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG|TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX|TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,Net-edge feasibility for the Hyperliquid H3/H4 candidates.,"Current fee schedule, historical event-level L2 product with timestamps, and the venue's liquidation-data surface.",PARTIAL,PARTIAL,UNKNOWN,MEDIUM,NONE,IN_PROGRESS,12.0,"M1-BLOCKING retained; fee and liquidation facts are public research, replay procurement needs a vendor/data request, so the binding method is EXTERNAL_ACTION."
UNK-0012,BLOCKING,B,requires exchange/vendor/broker quote or sample,PUBLIC_RESEARCH,M1_BLOCKING,1,ONE,HIGH,SMALL,1,TUP-CBOE-USOPT-H5-SURFRV-MIX,Options tuples passing Gate 2 at all.,"Fee codes for the exact order types, OPRA versus proprietary depth history, and point-in-time surface data.",UNKNOWN,YES,UNKNOWN,LOW,OQ-0009,OPEN,12.0,"M1-BLOCKING retained: the schedule is public, so this is cheap public research."
UNK-0013,BLOCKING,B,requires exchange/vendor/broker quote or sample,PUBLIC_RESEARCH,M1_BLOCKING,1,ONE,HIGH,SMALL,1,TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,Gate 2 for the Deribit tuple.,"2026 access/fee schedule, API contract and historical book product.",UNKNOWN,YES,UNKNOWN,LOW,OQ-0009,IN_PROGRESS,12.0,"M1-BLOCKING retained: cheap public research, high kill potential."
