fit_id,horizon_band,technology_class,runtime_zone,physical_admissibility,admission_status,assessment,blocking_issue_ids,source_id,notes
FIT-H1-RULES_DETERMINISTIC,H1,RULES_DETERMINISTIC,ORDER_PATH,CANDIDATE_BASELINE,BASELINE_REQUIRED,Candidate baseline; actual runtime must be measured.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Latency budget too tight to allocate to semantic sophistication without proof. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H1-LOGISTIC_TREE_BOOST,H1,LOGISTIC_TREE_BOOST,ORDER_PATH,CANDIDATE_BASELINE_IF_ENGINEERED_LOCALLY,BASELINE_REQUIRED,Candidate baseline if engineered locally.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Latency budget too tight to allocate to semantic sophistication without proof. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H1-LOCAL_NEURAL,H1,LOCAL_NEURAL,ORDER_PATH,POSSIBLE_AFTER_LOCAL_P99_PROFILING,GATED,Possible only after local p99 profiling.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Latency budget too tight to allocate to semantic sophistication without proof. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H1-LOCAL_SYSTEM_ONE,H1,LOCAL_SYSTEM_ONE,ORDER_PATH,NOT_ADMITTED_WITHOUT_MEASURED_INCREMENTAL_VALUE,LOCKED_OUT_BY_DEFAULT,Not admitted without measured incremental value and latency.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Latency budget too tight to allocate to semantic sophistication without proof. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H1-HOSTED_JEV,H1,HOSTED_JEV,ORDER_PATH,NO_VERIFIED_P99_EVIDENCE,LOCKED_OUT_BY_DEFAULT,Not admitted; no verified p99 evidence.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Latency budget too tight to allocate to semantic sophistication without proof. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H1-FRONTIER_LLM,H1,FRONTIER_LLM,ORDER_PATH,NOT_ADMITTED,LOCKED_OUT_BY_DEFAULT,Not admitted.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Latency budget too tight to allocate to semantic sophistication without proof. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H2-RULES_DETERMINISTIC,H2,RULES_DETERMINISTIC,ORDER_PATH,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Model complexity must justify decision-to-market delay. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H2-LOGISTIC_TREE_BOOST,H2,LOGISTIC_TREE_BOOST,ORDER_PATH,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Model complexity must justify decision-to-market delay. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H2-LOCAL_NEURAL,H2,LOCAL_NEURAL,ORDER_PATH,CANDIDATE,GATED,Candidate.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Model complexity must justify decision-to-market delay. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H2-LOCAL_SYSTEM_ONE,H2,LOCAL_SYSTEM_ONE,ORDER_PATH,CANDIDATE_AFTER_BASELINE_AND_CALIBRATION_TEST,LOCKED_OUT_BY_DEFAULT,Candidate only after baseline/calibration test.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Model complexity must justify decision-to-market delay. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
